,model,brand,price,sold_year,seller,km_driven,owner_type,fuel,gear,mileage,engine,power,torque,wheel_size,seats,_,_,_
0,2015Mahindra XUV500 W8 2WD,Mahindra,10.58 Lakh*,2015,Dealer,"47,000 kms",First Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
1,2015Mahindra XUV500 W8 2WD,Mahindra,9.5 Lakh*,2015,Dealer,"53,107 kms",Second Owner,Diesel,Manual,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
2,2014Mahindra XUV500 W8 2WD,Mahindra,9.5 Lakh*,2014,Dealer,"40,000 kms",First Owner,Diesel,Manual,Mileage15.1 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
3,2016Mahindra TUV 300 T6,Mahindra,7 Lakh*,2016,Dealer,"46,000 kms",First Owner,Diesel,Manual,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Torque240Nm@ 1600-2800rpm,Wheel Size15,Seats7,,,
4,2013Mahindra Bolero 2011-2019 ZLX,Mahindra,5.75 Lakh*,2013,Dealer,"75,000 kms",First Owner,Diesel,Manual,Mileage15.96 kmpl,Engine2523 CC,Max Power62.1 bhp,Torque195Nm@ 1400-2200rpm,Wheel Size15,Seats7,,,
5,2019Mahindra Thar 4X4,Mahindra,10.25 Lakh*,2019,Dealer,"14,000 kms",First Owner,Diesel,Manual,Variant -  4X4,Mileage16.55 kmpl,Engine2498 CC,Max Power105 bhp,Torque247Nm@ 1800-2000rpm,Wheel Size16,Seats7,,
6,2016Mahindra XUV500 AT W10 AWD,Mahindra,15.45 Lakh*,2016,Dealer,"22,283 kms",First Owner,Diesel,Automatic,Mileage16.0 kmpl,Engine2179 CC,Max Power140 bhp,Torque330Nm@ 1600-2800rpm,Wheel SizeN/A,Seats7,,,
7,2016Mahindra KUV 100 mFALCON D75 K8 5str,Mahindra,5.25 Lakh*,2016,Dealer,"34,000 kms",First Owner,Diesel,Manual,Mileage25.32 kmpl,Engine1198 CC,Max Power77 bhp,Torque190Nm@ 1750-2250rpm,Wheel SizeN/A,Seats5,,,
8,2017Mahindra XUV500 AT W6 1.99 mHawk,Mahindra,12.75 Lakh*,2017,Dealer,"44,000 kms",First Owner,Diesel,Automatic,Mileage16.0 kmpl,Engine1997 CC,Max Power140 bhp,Torque320Nm@ 1600-2800rpm,Wheel Size17,Seats7,,,
9,2015Mahindra TUV 300 T6 Plus,Mahindra,5.9 Lakh*,2015,Dealer,"39,000 kms",First Owner,Diesel,Manual,Variant -  T6 Plus,Mileage18.49 kmpl,Engine1493 CC,Max Power100 bhp,Torque240Nm@ 1600-2800rpm,Wheel Size15,Seats7,,
