,airline,time,price,base_price,stops,source,destination,dept_time,arrv_time,date,class
0,Go Air,02 hrs 10 mins ,"₹ 4,005","₹ 2,619",Non stop,Mumbai,New Delhi,08:05,10:15,02/09/2020,Economy
1,Vistara,02 hrs ,"₹ 4,006","₹ 3,370",Non stop,Mumbai,New Delhi,10:15,12:15,02/09/2020,Economy
2,Vistara,02 hrs 10 mins ,"₹ 4,006","₹ 3,370",Non stop,Mumbai,New Delhi,13:30,15:40,02/09/2020,Economy
3,Vistara,02 hrs 10 mins ,"₹ 4,006","₹ 3,370",Non stop,Mumbai,New Delhi,15:00,17:10,02/09/2020,Economy
4,Vistara,02 hrs 10 mins ,"₹ 4,006","₹ 3,370",Non stop,Mumbai,New Delhi,17:00,19:10,02/09/2020,Economy
5,Spicejet,02 hrs 10 mins ,"₹ 4,006","₹ 3,371",Non stop,Mumbai,New Delhi,18:45,20:55,02/09/2020,Economy
6,Spicejet,02 hrs 15 mins ,"₹ 4,006","₹ 3,371",Non stop,Mumbai,New Delhi,07:20,09:35,02/09/2020,Economy
7,Air India,02 hrs 15 mins ,"₹ 4,006","₹ 3,330",Non stop,Mumbai,New Delhi,10:30,12:45,02/09/2020,Economy
8,Air India,02 hrs 15 mins ,"₹ 4,006","₹ 3,330",Non stop,Mumbai,New Delhi,21:00,23:15,02/09/2020,Economy
9,IndiGo,02 hrs 05 mins ,"₹ 4,007","₹ 3,400",Non stop,Mumbai,New Delhi,09:50,11:55,02/09/2020,Economy
10,IndiGo,02 hrs 10 mins ,"₹ 4,007","₹ 3,400",Non stop,Mumbai,New Delhi,11:35,13:45,02/09/2020,Economy
11,IndiGo,02 hrs 15 mins ,"₹ 4,007","₹ 3,400",Non stop,Mumbai,New Delhi,08:00,10:15,02/09/2020,Economy
12,IndiGo,02 hrs 15 mins ,"₹ 4,007","₹ 3,400",Non stop,Mumbai,New Delhi,15:50,18:05,02/09/2020,Economy
13,IndiGo,02 hrs 15 mins ,"₹ 4,007","₹ 3,400",Non stop,Mumbai,New Delhi,18:35,20:50,02/09/2020,Economy
14,AirAsia,08 hrs 50 mins ,"₹ 5,313","₹ 4,669",1 stop via Bengaluru,Mumbai,New Delhi,06:00,14:50,02/09/2020,Economy
15,AirAsia,08 hrs 50 mins ,"₹ 5,313","₹ 4,669",1 stop via Hyderabad,Mumbai,New Delhi,16:10,01:00+1 DAYArrival : New Delhi03 Sep 2020,02/09/2020,Economy
16,IndiGo,05 hrs 45 mins ,"₹ 6,579","₹ 5,800",1 stop via Lucknow,Mumbai,New Delhi,14:00,19:45,02/09/2020,Economy
17,IndiGo,06 hrs 30 mins ,"₹ 6,579","₹ 5,800",1 stop via Hyderabad,Mumbai,New Delhi,17:25,23:55,02/09/2020,Economy
18,IndiGo,07 hrs 05 mins ,"₹ 6,579","₹ 5,800",1 stop via Hyderabad,Mumbai,New Delhi,09:10,16:15,02/09/2020,Economy
19,IndiGo,08 hrs 50 mins ,"₹ 6,579","₹ 5,800",1 stop via Hyderabad,Mumbai,New Delhi,12:00,20:50,02/09/2020,Economy
20,IndiGo,11 hrs 40 mins ,"₹ 6,579","₹ 5,800",1 stop via Hyderabad,Mumbai,New Delhi,09:10,20:50,02/09/2020,Economy
21,Air India,08 hrs 25 mins ,"₹ 6,631","₹ 5,660",1 stop via Hyderabad,Mumbai,New Delhi,14:10,22:35,02/09/2020,Economy
22,IndiGo,05 hrs 10 mins ,"₹ 6,841","₹ 6,050",1 stop via Hyderabad,Mumbai,New Delhi,17:25,22:35,02/09/2020,Economy
23,Vistara,10 hrs 25 mins ,"₹ 6,841","₹ 5,940",1 stop via Hyderabad,Mumbai,New Delhi,09:20,19:45,02/09/2020,Economy
24,IndiGo,10 hrs 35 mins ,"₹ 6,841","₹ 6,050",1 stop via Hyderabad,Mumbai,New Delhi,12:00,22:35,02/09/2020,Economy
25,IndiGo,05 hrs 25 mins ,"₹ 7,523","₹ 6,700",1 stop via Goa,Mumbai,New Delhi,12:35,18:00,02/09/2020,Economy
26,Air India,09 hrs 30 mins ,"₹ 7,681","₹ 6,660",1 stop via Bhubaneswar,Mumbai,New Delhi,12:00,21:30,02/09/2020,Economy
27,IndiGo,07 hrs 55 mins ,"₹ 8,050","₹ 7,201",1 stop via Dehradun,Mumbai,New Delhi,10:05,18:00,02/09/2020,Economy
28,IndiGo,04 hrs 45 mins ,"₹ 8,207","₹ 7,350",1 stop via Dehradun,Mumbai,New Delhi,10:05,14:50,02/09/2020,Economy
29,IndiGo,07 hrs 55 mins ,"₹ 8,413","₹ 7,548",1 stop via Nagpur,Mumbai,New Delhi,09:50,17:45,02/09/2020,Economy
30,Air India,10 hrs 45 mins ,"₹ 8,424","₹ 7,160","2 stop via Bengaluru,Lucknow",Mumbai,New Delhi,10:30,21:15,02/09/2020,Economy
31,Vistara,11 hrs 15 mins ,"₹ 8,424","₹ 7,240",1 stop via Bengaluru,Mumbai,New Delhi,09:00,20:15,02/09/2020,Economy
32,Vistara,05 hrs 30 mins ,"₹ 8,731","₹ 7,740",1 stop via Chennai,Mumbai,New Delhi,09:45,15:15,02/09/2020,Economy
33,Vistara,10 hrs 30 mins ,"₹ 8,731","₹ 7,740",1 stop via Chennai,Mumbai,New Delhi,09:45,20:15,02/09/2020,Economy
34,Vistara,05 hrs 50 mins ,"₹ 8,739","₹ 7,540",1 stop via Bengaluru,Mumbai,New Delhi,09:00,14:50,02/09/2020,Economy
35,IndiGo,05 hrs 25 mins ,"₹ 10,831","₹ 9,850",1 stop via Raipur,Mumbai,New Delhi,06:00,11:25,02/09/2020,Economy
36,IndiGo,08 hrs 45 mins ,"₹ 10,831","₹ 9,850",1 stop via Varanasi,Mumbai,New Delhi,12:55,21:40,02/09/2020,Economy
37,IndiGo,06 hrs 55 mins ,"₹ 11,399","₹ 10,440",1 stop via Allahabad,Mumbai,New Delhi,12:45,19:40,02/09/2020,Economy
38,Spicejet,14 hrs 45 mins ,"₹ 12,442","₹ 11,405",1 stop via Varanasi,Mumbai,New Delhi,06:40,21:25,02/09/2020,Economy
39,Spicejet,26 hrs 05 mins ,"₹ 12,722","₹ 11,671",1 stop via Gorakhpur,Mumbai,New Delhi,10:55,13:00+1 DAYArrival : New Delhi03 Sep 2020,02/09/2020,Economy
40,Spicejet,24 hrs 45 mins ,"₹ 14,403","₹ 13,272",1 stop via Patna,Mumbai,New Delhi,09:55,10:40+1 DAYArrival : New Delhi03 Sep 2020,02/09/2020,Economy
0,Go Air,02 hrs 10 mins ,"₹ 4,005","₹ 2,619",Non stop,Mumbai,New Delhi,08:05,10:15,03/09/2020,Economy
1,Vistara,02 hrs ,"₹ 4,006","₹ 3,370",Non stop,Mumbai,New Delhi,10:15,12:15,03/09/2020,Economy
2,Vistara,02 hrs 10 mins ,"₹ 4,006","₹ 3,370",Non stop,Mumbai,New Delhi,13:30,15:40,03/09/2020,Economy
3,Vistara,02 hrs 10 mins ,"₹ 4,006","₹ 3,370",Non stop,Mumbai,New Delhi,15:00,17:10,03/09/2020,Economy
4,Vistara,02 hrs 10 mins ,"₹ 4,006","₹ 3,370",Non stop,Mumbai,New Delhi,17:00,19:10,03/09/2020,Economy
5,Spicejet,02 hrs 10 mins ,"₹ 4,006","₹ 3,371",Non stop,Mumbai,New Delhi,18:45,20:55,03/09/2020,Economy
6,Air India,02 hrs 15 mins ,"₹ 4,006","₹ 3,330",Non stop,Mumbai,New Delhi,07:00,09:15,03/09/2020,Economy
7,Spicejet,02 hrs 15 mins ,"₹ 4,006","₹ 3,371",Non stop,Mumbai,New Delhi,07:20,09:35,03/09/2020,Economy
8,Air India,02 hrs 15 mins ,"₹ 4,006","₹ 3,330",Non stop,Mumbai,New Delhi,10:30,12:45,03/09/2020,Economy
9,Air India,02 hrs 15 mins ,"₹ 4,006","₹ 3,330",Non stop,Mumbai,New Delhi,21:00,23:15,03/09/2020,Economy
10,IndiGo,02 hrs 05 mins ,"₹ 4,007","₹ 3,400",Non stop,Mumbai,New Delhi,09:50,11:55,03/09/2020,Economy
11,IndiGo,02 hrs 15 mins ,"₹ 4,007","₹ 3,400",Non stop,Mumbai,New Delhi,08:00,10:15,03/09/2020,Economy
12,IndiGo,02 hrs 15 mins ,"₹ 4,007","₹ 3,400",Non stop,Mumbai,New Delhi,15:50,18:05,03/09/2020,Economy
13,IndiGo,02 hrs 15 mins ,"₹ 4,007","₹ 3,400",Non stop,Mumbai,New Delhi,18:35,20:50,03/09/2020,Economy
14,AirAsia,08 hrs 20 mins ,"₹ 5,313","₹ 4,669",1 stop via Bengaluru,Mumbai,New Delhi,06:00,14:20,03/09/2020,Economy
15,IndiGo,04 hrs 30 mins ,"₹ 6,473","₹ 5,700",1 stop via Ahmedabad,Mumbai,New Delhi,15:45,20:15,03/09/2020,Economy
16,IndiGo,05 hrs 10 mins ,"₹ 6,579","₹ 5,800",1 stop via Hyderabad,Mumbai,New Delhi,17:25,22:35,03/09/2020,Economy
17,IndiGo,05 hrs 25 mins ,"₹ 6,579","₹ 5,800",1 stop via Goa,Mumbai,New Delhi,12:35,18:00,03/09/2020,Economy
18,IndiGo,05 hrs 45 mins ,"₹ 6,579","₹ 5,800",1 stop via Lucknow,Mumbai,New Delhi,14:00,19:45,03/09/2020,Economy
